ra,dec,name,type,peak
194.434574,29.592561,J125744.29_293533.2,Gauss,565.27
159.59111,23.903323,J103821.87_235411.9,Gauss,640.63
179.027217,53.473483,J115606.54_532824.58,Gauss,1134.75
137.92189,30.171163,J091141.24_301016.1,Gauss,284.45
35.655542,4.008436,J022237.33_040030.3,Gauss,1590.72
191.879907,32.817034,J124731.17_324901.2,Gauss,365.5
192.943084,43.291604,J125146.33_431729.7,Gauss,259.72
236.638494,27.279004,J154633.23_271644.3,Gauss,671.87
188.09054,29.215996,J123221.73_291257.4,Gauss,726.66
177.974525,19.023583,J115153.89_190124.85,Gauss,302.06
165.665669,22.299551,J110239.76_221758.3,Gauss,1089.89
157.029526,31.323188,J102807.07_311923.3,Gauss,427.9
322.03309,-1.107912,J212807.94-010628.5,Gauss,417.14
156.633286,25.141754,J102631.98_250830.1,Gauss,1098.97
134.978466,31.376127,J085954.83_312234.0,Gauss,1468.65
177.258587,16.915307,J114902.06_165455.08,Gauss,245.13
253.797704,29.049133,J165511.45_290256.8,Gauss,48.65
165.137991,5.272679,J110033.11_051621.5,Gauss,185.4
151.550082,20.229108,J100612.02_201344.7,Gauss,65.97
16.357018,8.461984,J010525.68_082743.1,Gauss,1655.16
199.695672,11.509232,J131846.96_113033.2,Gauss,936.1
346.418415,-4.79849,J230540.41-044754.56,Gauss,1282.89
172.676702,17.055203,113042.40_170318.6,Gauss,1052.5
154.562537,18.502975,J101815.01_183010.61,Gauss,1063.52
220.618732,47.101321,J144228.49_470604.6,Gauss,928.4
203.250358,36.172678,J133300.08_361021.5,Gauss,163.68
155.056153,14.307938,J102013.48_141828.6,Gauss,1111.93
20.141176,30.747493,J012033.88_304450.9,Gauss,657.75
182.342976,41.599671,120922.31_413558.7,Gauss,150.67
17.850457,6.657283,011124.11_063926.1,Gauss,1786.03
332.175569,-4.169425,J220842.14-041010.0,Gauss,1503.27
193.595178,26.334775,J125422.84_262005.1,Gauss,1064.64
48.503556,3.542756,J031400.86_033233.8,Gauss,67.64
130.308576,37.510712,J084114.06_373038.50,Gauss,1043.48
155.562368,9.331779,J102214.96_091954.3,Gauss,532.26
214.966059,47.15037,141951.85_470901.3,Gauss,274.71
141.594286,26.008027,J092622.62_260028.7,Gauss,96.35
182.350195,37.147001,J120924.05_370849.18,Gauss,1753.94
150.917978,16.615392,J100340.31_163655.38,Gauss,148.34
2.769427,1.382267,J001104.66_012256.0,Gauss,1049.3
192.767863,15.195832,J125104.29_151144.9,Gauss,917.04
167.432914,16.336738,J110943.89_162012.18,Gauss,111.83
226.524036,19.75099,J150605.77_194503.5,Gauss,331.85
23.082573,34.049023,J013219.81_340256.3,Gauss,300.42
10.324162,36.571281,J004117.79_363416.4,Gauss,120.84
189.235007,43.191505,J123656.40_431129.34,Gauss,159.82
359.790763,36.157659,J235909.78_360927.5,Gauss,1001.31
192.961051,26.650043,J125150.65_263900.1,Gauss,432.72
132.217545,13.554345,J084852.21_133315.58,Gauss,695.99
134.978786,32.325073,J085954.90_321930.1,Gauss,990.97
195.174772,8.811128,J130041.94_084840.0,Gauss,1220.09
209.573293,57.867956,J135817.61_575204.56,Gauss,457.22
183.104477,30.712481,J121225.07_304244.85,Gauss,850.58
145.01411,27.720989,J094003.39_274315.5,Gauss,519.72
154.513625,26.835862,J101803.27_265009.05,Gauss,564.55
237.230186,26.550508,J154855.24_263301.7,Gauss,728.93
207.794284,38.276157,J135110.63_381634.0,Gauss,344.91
161.939655,1.77066,J104745.52_014614.31,Gauss,1121.89
137.827504,47.590271,J091118.60_473525.0,Gauss,1455.13
125.386436,34.861309,J082132.74_345140.60,Gauss,1122.09
161.520927,34.192454,J104605.02_341132.7,Gauss,1538.02
228.324674,18.599414,J151317.92_183557.8,Gauss,1767.42
217.567424,35.323299,J143016.18_351923.76,Gauss,195.22
193.394896,-1.977136,J125334.77-015837.78,Gauss,157.53
131.775325,52.131436,J084706.07_520753.1,Gauss,396.3
193.477041,25.892582,J125354.49_255333.2,Gauss,1223.78
127.61733,27.430155,083028.16_272548.5,Gauss,1489.61
193.218475,47.093753,J125252.42_470537.3,Gauss,1791.04
201.449759,49.354546,J132547.93_492116.3,Gauss,950.43
163.749947,42.432587,105459.99_422557.3,Gauss,1564.48
138.304604,41.170635,J091313.10_411014.2,Gauss,1829.61
224.684163,30.497971,J145844.20_302952.60,Gauss,322.01
157.682376,38.509406,J103043.76_383033.8,Gauss,892.77
174.889654,4.418897,J113933.52_042507.92,Gauss,812.09
198.798338,47.421447,131511.60_472517.1,Gauss,87.95
343.582967,8.910812,J225419.92_085438.9,Gauss,771.83
241.959585,26.198221,J160750.29_261153.5,Gauss,66.29
173.626727,13.894218,113430.41_135339.1,Gauss,595.93
142.794162,32.312032,J093110.59_321843.3,Gauss,1377.17
262.533993,36.683779,J173008.16_364101.6,Gauss,439.1
158.300878,26.117798,J103312.21_260704.11,Gauss,130.56
243.766271,32.832575,J161503.90_324957.2,Gauss,709.23
132.312973,28.019361,084915.11_280109.7,Gauss,76.17
136.320959,32.070036,J090517.03_320411.9,Gauss,1019.48
135.872237,29.949748,J090329.33_295659.0,Gauss,1267.42
167.590693,8.479638,J111021.76_082846.7,Gauss,770.63
211.709431,29.865424,J140650.26_295155.5,Gauss,231.78
225.84107,53.756673,J150321.86_534523.89,Gauss,1082.73
138.721276,29.378409,J091453.11_292242.7,Gauss,469.99
159.79215,40.582195,J103910.11_403455.8,Gauss,362.37
230.301951,25.995641,J152112.47_255944.25,Gauss,303.72
21.657376,5.667681,J012637.78_054003.6,Gauss,109.01
181.492553,0.38141,J120558.20_002253.0,Gauss,1137.83
159.655702,40.912543,J103837.36_405445.09,Gauss,799.55
204.750075,-0.925153,133900.01-005530.6,Gauss,164.29
134.601708,25.121369,J085824.40_250716.8,Gauss,157.98
330.676413,21.155928,J220242.34_210921.30,Gauss,1613.85
179.689132,53.71454,J115845.40_534252.2,Gauss,1740.96
150.592127,28.231627,J100222.11_281353.7,Gauss,575.53
228.877567,28.826578,J151530.61_284935.6,Gauss,1104.76
351.737203,3.051112,J232656.92_030303.9,Gauss,1432.07
193.301635,45.086997,125312.39_450513.1,Gauss,1594.24
172.505266,-6.89837,J113001.25-065354.3,Gauss,1208.95
258.094573,25.529027,J171222.69_253144.4,Gauss,130.91
159.197922,1.816243,J103647.50_014858.42,Gauss,1509.89
179.375494,16.145108,J115730.12_160842.25,Gauss,742.96
14.464816,1.930262,J005751.56_015548.8,Gauss,1062.85
130.489212,34.842753,J084157.41_345033.9,Gauss,1251.0
193.561502,31.909506,J125414.75_315434.1,Gauss,1568.02
220.312558,13.099013,J144115.02_130556.36,Gauss,1675.84
148.666901,13.99743,J095440.06_135950.7,Gauss,827.95
322.236401,8.106554,J212856.73_080623.59,Gauss,706.15
170.115558,10.06886,J112027.74_100407.78,Gauss,221.41
226.196365,53.619951,J150447.12_533711.82,Gauss,72.8
226.853692,26.059224,J150724.88_260333.0,Gauss,713.57
0.627974,0.833112,J000230.71_004959.1,Gauss,990.34
148.37652,35.539771,J095330.36_353223.1,Gauss,72.3
241.794857,26.206183,J160710.76_261222.3,Gauss,88.72
188.467956,42.683521,J123352.30_424100.6,Gauss,1536.24
219.995093,25.375273,J143958.82_252231.0,Gauss,295.71
238.979815,45.338734,J155555.15_452019.4,Gauss,199.87
151.7104,38.141347,J100650.50_380828.80,Gauss,1224.87
54.966156,-0.158375,J033951.88-000930.22,Gauss,551.91
355.256607,14.526145,J234101.59_143134.13,Gauss,327.04
251.587462,29.326665,J164620.98_291936.0,Gauss,1603.81
152.444208,2.453692,J100946.61_022713.2,Gauss,1291.58
225.743226,38.269919,J150258.37_381611.65,Gauss,133.94
151.456902,14.474557,J100549.66_142828.4,Gauss,248.22
2.410861,1.650042,J000938.60_013900.0,Gauss,329.26
143.682118,10.535753,J093443.70_103208.62,Gauss,1196.65
349.403124,19.388616,J231736.75_192318.9,Gauss,1442.76
146.653617,32.663791,J094636.86_323949.6,Gauss,1271.21
21.074253,31.604508,J012417.82_313616.2,Gauss,1680.87
133.931908,20.252349,J085543.66_201508.42,Gauss,1504.29
148.382937,32.93739,J095331.90_325614.3,Gauss,474.46
236.846107,32.574302,J154723.06_323427.4,Gauss,445.83
187.426939,26.461762,J122942.46_262742.3,Gauss,303.84
162.718724,17.71455,105052.49_174252.4,Gauss,1769.39
33.666691,5.597602,J021440.00_053551.3,Gauss,1058.67
136.515168,19.695097,J090603.64_194142.26,Gauss,1232.05
228.885592,49.257078,J151532.54_491525.49,Gauss,260.67
212.605196,45.464573,J141025.24_452752.4,Gauss,855.28
128.481303,44.023964,J083355.51_440126.2,Gauss,745.61
50.080769,0.600747,J032019.38_003602.65,Gauss,80.77
137.889822,41.721353,J091133.56_414316.7,Gauss,1615.16
217.109876,32.802814,J142826.37_324810.0,Gauss,1099.22
230.37472,31.805749,J152129.93_314820.7,Gauss,770.11
144.102554,30.483848,J093624.61_302901.6,Gauss,927.48
21.837983,15.736213,J012721.12_154410.31,Gauss,1015.98
16.990011,6.047034,010757.61_060249.2,Gauss,630.22
167.867402,13.503115,J111128.18_133011.09,Gauss,338.8
170.635289,18.499154,J112232.47_182957.0,Gauss,464.51
343.594639,14.402,J225422.71_142407.20,Gauss,1772.38
339.647696,8.666873,J223835.44_084000.6,Gauss,371.7
159.50729,17.379264,103801.75_172245.3,Gauss,1278.04
214.246765,1.244905,J141659.22_011441.58,Gauss,141.96
142.153279,47.712763,J092836.79_474245.9,Gauss,1462.71
187.370111,44.355521,J122928.83_442119.80,Gauss,1522.27
226.202924,32.932883,J150448.70_325558.36,Gauss,900.04
163.549892,28.597129,J105411.97_283549.6,Gauss,928.59
147.496213,25.650178,J094959.09_253900.6,Gauss,516.95
152.712237,30.007813,J101050.93_300028.0,Gauss,481.96
14.559528,8.210236,005814.28_081236.8,Gauss,1051.37
